10 4 3.536576212934172
20 4 4.6548330053836935
30 4 4.38788197271554
40 4 3.8116696883711834
50 4 3.275787313215964
60 4 2.8396903941724974
80 4 2.214832703546671
100 4 1.8040102173177694
10 12 12.98759905389936
20 12 20.582300058171313
30 12 24.786282630950762
40 12 25.962988139018396
50 12 25.00691785329845
60 12 23.101168331333053
80 12 19.056681214103836
100 12 15.847514669025554
10 24 23.627732998865923
20 24 37.69989758831093
30 24 47.873486670371264
40 24 55.368732841691255
50 24 60.51933862970691
60 24 63.29624123831485
80 24 62.393524140006626
100 24 56.72653375300972
